Country,Total GHG Emissions,Total CO2 ,Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),GDP Per Capita,Population
Malawi,7.187358791,0.9563,3.9394,2.2884,0.0033,237.6982592,13112383
Malaysia,248.9734517,176.6137,58.7437,10.7114,2.9047,6194.671905,26263048
Maldives,0.960414758,0.8867,0.0685,0.0034,0.0018,4428.522901,333000
Mali,23.73551338,0.9416,12.1638,10.6171,0.0129,460.0055723,13309942
Malta,3.059758094,2.58,0.2682,0.0536,0.158,15705.34022,405308
Mauritania,9.216574838,1.6085,4.7794,2.8205,0.0082,937.9827017,3241762
Mauritius,4.859320211,3.26,1.2887,0.2697,0.041,5455.06563,1233996
Mexico,670.1094661,420.0993,186.475,45.6867,17.8485,8666.335353,111382857
Moldova,11.98969212,7.8977,3.0762,0.8526,0.1632,950.6482044,3585209
Mongolia,26.57795336,10.5596,7.8795,8.1254,0.0135,1334.405712,2558484
Montenegro,3.863941346,2.22,0.471,0.1342,1.0388,4383.595097,615025
Morocco,64.89030578,45.5372,10.3719,8.8031,0.1781,2107.896017,30691434
Mozambique,21.73518171,1.9204,10.103,9.178,0.5337,382.3779583,21737860
Myanmar,88.5806138,10.3407,62.8787,15.3438,0.0174,0,50355559
Namibia,11.09247939,2.35,4.516,4.214,0.0125,3884.646834,2053915
Nauru,0.059905115,0.055,0.0039,0.0006,0.0004,#N/A,#N/A
Nepal,28.60283982,2.6166,20.0137,5.9452,0.0275,350.608465,25794344
Netherlands,213.4235038,179.7669,18.2259,12.7835,2.6472,44453.97119,16346101
New Zealand,77.99064296,34.6268,26.8769,15.5306,0.9563,26630.36415,4184600
Nicaragua,13.45626196,4.5038,6.2245,2.6665,0.0615,1245.142095,5450217
Niger,20.33103315,0.8061,11.9106,7.6056,0.0087,260.56377,13995530
Nigeria,280.0230927,93.4052,151.1555,35.2867,0.1757,1014.734742,143318011
Niue,0.050343682,0.011,0.0159,0.0234,0.0001,#N/A,#N/A
Norway,50.85814627,39.3827,4.3926,5.5698,1.513,74114.69715,4660677
Oman,75.49549041,38.3252,36.32,0.564,0.2863,14575.1604,2553376
Pakistan,286.6163224,140.1722,96.6477,49.0288,0.7676,876.9511089,156524189
Palau,0.217282852,0.2015,0.014,0.0007,0.0011,9719.141458,20012
Panama,13.23506176,7.724,4.107,1.2569,0.1472,5072.219262,3378600
Papua New Guinea,14.04795237,4.3052,4.8315,4.877,0.0343,886.4202669,6236158
Paraguay,29.13544318,3.9904,18.0599,6.9799,0.1052,1809.710231,5882797
Peru,67.3200455,31.909,25.1999,9.7737,0.4375,3143.550031,27949958
Philippines,136.1711046,71.0521,50.5066,12.273,2.3393,1395.212633,87592899
Poland,376.872504,311.72,38.0422,24.8251,2.2852,8999.739627,38141267
Portugal,77.7845956,61.645,11.9337,3.6872,0.5188,19821.44463,10522288
Qatar,52.48018066,48.7389,3.2332,0.3967,0.1114,61593.67297,988448
Romania,139.6415206,100.811,27.2785,11.1235,0.4286,5828.740623,21193760
Russian Federation,2201.107031,1621.6612,490.5716,55.6435,33.2307,6920.194398,143049528
Rwanda,5.299647734,0.5276,3.3456,1.4112,0.0152,336.942281,9231041
Saint Kitts & Nevis,0.312537481,0.2345,0.0587,0.0123,0.0071,#N/A,#N/A
Saint Lucia,1.069463213,0.3664,0.677,0.0198,0.0062,#N/A,#N/A
Saint Vincent & Grenadines,0.288162621,0.2198,0.0585,0.0085,0.0013,#N/A,#N/A
Samoa,0.438235662,0.1759,0.2138,0.0458,0.0028,2793.54312,181072
Sao Tome & Principe,0.147969739,0.0843,0.0412,0.0218,0.0007,#N/A,#N/A
